entrez_gene_symbol	gene_long_name	category_sources	category
A2M 	alpha-2-macroglobulin 	GO, dGene	PROTEASE INHIBITOR
A2ML1 	alpha-2-macroglobulin-like 1 	GO, dGene	PROTEASE INHIBITOR
AACS 	acetoacetyl-CoA synthetase 	GO	DRUG RESISTANCE
AADAC 	arylacetamide deacetylase 	RussLampel	DRUGGABLE GENOME
AAK1 	AP2 associated kinase 1 	GO	KINASE
AAK1 	AP2 associated kinase 1 	GO, dGene	SERINE THREONINE KINASE
AAK1 	AP2 associated kinase 1 	RussLampel	DRUGGABLE GENOME
AAMP 	angio-associated, migratory cell protein 	GO	CELL SURFACE
AATF 	apoptosis antagonizing transcription factor 	GO	TUMOR SUPPRESSOR
AATK 	apoptosis-associated tyrosine kinase 	GO	SERINE THREONINE KINASE
AATK 	apoptosis-associated tyrosine kinase 	GO, HopkinsGroom	KINASE
AATK 	apoptosis-associated tyrosine kinase 	GO, dGene	TYROSINE KINASE
AATK 	apoptosis-associated tyrosine kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABAT 	4-aminobutyrate aminotransferase 	GO	DRUG RESISTANCE
ABAT 	4-aminobutyrate aminotransferase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ABCA1 	ATP-binding cassette, sub-family A (ABC1), member 1 	GO	TRANSPORTER
ABCA1 	ATP-binding cassette, sub-family A (ABC1), member 1 	RussLampel	DRUGGABLE GENOME
ABCA10 	ATP-binding cassette, sub-family A (ABC1), member 10 	RussLampel	DRUGGABLE GENOME
ABCA12 	ATP-binding cassette, sub-family A (ABC1), member 12 	RussLampel	DRUGGABLE GENOME
ABCA13 	ATP-binding cassette, sub-family A (ABC1), member 13 	RussLampel	DRUGGABLE GENOME
ABCA2 	ATP-binding cassette, sub-family A (ABC1), member 2 	GO	ABC TRANSPORTER
ABCA2 	ATP-binding cassette, sub-family A (ABC1), member 2 	GO	DRUG RESISTANCE
ABCA2 	ATP-binding cassette, sub-family A (ABC1), member 2 	GO	TRANSPORTER
ABCA2 	ATP-binding cassette, sub-family A (ABC1), member 2 	RussLampel	DRUGGABLE GENOME
ABCA3 	ATP-binding cassette, sub-family A (ABC1), member 3 	GO	ABC TRANSPORTER
ABCA3 	ATP-binding cassette, sub-family A (ABC1), member 3 	GO	DRUG RESISTANCE
