entrez_gene_symbol	gene_long_name	interaction_claim_source	interaction_types	drug_name	drug_primary_name
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03782	N-(1-ADAMANTYL)-N'-(4-GUANIDINOBENZYL)UREA
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB06857	N-(4-CARBAMIMIDOYL-3-CHORO-PHENYL)-2-HYDROXY-3-IODO-5-METHYL-BENZAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB02193	2-(2-HYDROXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03865	6-CHLORO-2-(2-HYDROXY-BIPHENYL-3-YL)-1H-INDOLE-5-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB04172	[2,4,6-TRIISOPROPYL-PHENYLSULFONYL-L-[3-AMIDINO-PHENYLALANINE]]-PIPERAZINE-N'-BETA-ALANINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03082	6-[(Z)-AMINO(IMINO)METHYL]-N-[4-(AMINOMETHYL)PHENYL]-4-(PYRIMIDIN-2-YLAMINO)-2-NAPHTHAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB07122	1-[4-(2-OXO-2-PHENYLETHYL)PHENYL]GUANIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03136	4-IODOBENZO[B]THIOPHENE-2-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB07076	6-[(Z)-AMINO(IMINO)METHYL]-N-[3-(CYCLOPENTYLOXY)PHENYL]-2-NAPHTHAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03046	7-METHOXY-8-[1-(METHYLSULFONYL)-1H-PYRAZOL-4-YL]NAPHTHALENE-2-CARBOXIMIDAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB03876	THIENO[2,3-B]PYRIDINE-2-CARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	inhibitor	DB00594	AMILORIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB08072	4-(2-AMINOETHOXY)-3,5-DICHLORO-N-[3-(1-METHYLETHOXY)PHENYL]BENZAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB01977	6-(N-PHENYLCARBAMYL)-2-NAPHTHALENECARBOXAMIDINE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB08697	4-(2-AMINOETHOXY)-N-(3-CHLORO-5-PIPERIDIN-1-YLPHENYL)-3,5-DIMETHYLBENZAMIDE
PLAU	plasminogen activator, urokinase	DrugBank	n/a	DB04059	8-(PYRIMIDIN-2-YLAMINO)NAPHTHALENE-2-CARBOXIMIDAMIDE
