drug_name	trade_name	drug_class	entrez_gene_name	primary_gene_name	metadata_fda_approval
Ado-trastuzumab emtansine 	Kadcyla	Monoclonal antibody	ERBB2	ERBB2	Breast cancer (HER2+)
Afatinib 	Gilotrif	TKI	EGFR 	EGFR 	Non-small cell lung cancer (with EGFR exon 19 deletions or exon 21 substitution (L858R) mutations)
Alectinib 	Alecensa	TKI	ALK	ALK	Non-small cell lung cancer (with ALK fusion)
Alemtuzumab 	Campath	Monoclonal antibody	CD52	CD52	B-cell chronic lymphocytic leukemia
Atezolizumab 	Tecentriq	Monoclonal antibody	CD274	PD-L1	Non-small cell lung cancer, Urothelial carcinoma
Avelumab 	Bavencio	Monoclonal antibody	CD274	PD-L1	Merkel cell carcinoma
Axitinib 	Inlyta	TKI	KIT	KIT	Renal cell carcinoma
Axitinib 	Inlyta	TKI	PDGFRB	PDGFRB	Renal cell carcinoma
Axitinib 	Inlyta	TKI	VEGFR1	VEGFR1	Renal cell carcinoma
Axitinib 	Inlyta	TKI	VEGFR2	VEGFR2	Renal cell carcinoma
Axitinib 	Inlyta	TKI	VEGFR3	VEGFR3	Renal cell carcinoma
Belimumab 	Benlysta	Monoclonal antibody	TNFSF13B	BAFF	Lupus erythematosus
Belinostat 	Beleodaq		HDAC1	HDAC	Peripheral T-cell lymphoma
Belinostat 	Beleodaq		HDAC4	HDAC	Peripheral T-cell lymphoma
Belinostat 	Beleodaq		HDAC7	HDAC	Peripheral T-cell lymphoma
Belinostat 	Beleodaq		HDAC9	HDAC	Peripheral T-cell lymphoma
Bevacizumab 	Avastin	Monoclonal antibody	VEGFA	VEGF	Cervical cancer, colorectal cancer, fallopian tube cancer, glioblastoma, non-small cell lung cancer, ovarian cancer, peritoneal cancer, renal cell carcinoma
Bortezomib 	Velcade	Small molecule inhibitor	PSMC5	Proteasome	Multiple myeloma, Mantle cell lymphoma
Bosutinib 	Bosulif	TKI	ABL1	ABL	Chronic myelogenous leukemia (Philadelphia chromosome positive)
Brentuximab vedotin 	Adcetris	Chimeric antibody	CD30	CD30	Hodgkin lymphoma, Anaplastic large cell lymphoma
Cabozantinib 	Cabometyx [tablet], Cometriq [capsule]	TKI	KIT	KIT	Medullary thyroid cancer, Renal cell carcinoma
Cabozantinib 	Cabometyx [tablet], Cometriq [capsule]	TKI	MET	MET	Medullary thyroid cancer, Renal cell carcinoma
Cabozantinib 	Cabometyx [tablet], Cometriq [capsule]	TKI	RET	RET	Medullary thyroid cancer, Renal cell carcinoma
Cabozantinib 	Cabometyx [tablet], Cometriq [capsule]	TKI	VEGFR2	VEGFR2	Medullary thyroid cancer, Renal cell carcinoma
Cabozantinib 	Cabometyx [tablet], Cometriq [capsule]	TKI	FLT3	FLT3	Medullary thyroid cancer, Renal cell carcinoma
Canakinumab 	Ilaris	Monoclonal antibody	IL1B	IL1B	Juvenile idiopathic arthritis
Carfilzomib 	Kyprolis	Small molecule inhibitor	PSMC5	Proteasome	Multiple myeloma
Ceritinib 	Zykadia	TKI	ALK	ALK	Non-small cell lung cancer (with ALK fusion)
Cetuximab 	Erbitux	Chimeric antibody	EGFR 	EGFR 	Colorectal cancer (KRAS wild type), Squamous cell carcinoma of the head and neck
Cobimetinib 	Cotellic	TKI	MEK	MEK	Melanoma (with BRAF V600E or V600K mutation)
Crizotinib 	Xalkori	TKI	ROS1	ROS1	Non-small cell lung cancer (with ALK fusion or ROS1 gene alteration)
Crizotinib 	Xalkori	TKI	MET	MET	Non-small cell lung cancer (with ALK fusion or ROS1 gene alteration)
Crizotinib 	Xalkori	TKI	ALK	ALK	Non-small cell lung cancer (with ALK fusion or ROS1 gene alteration)
Dabrafenib 	Tafinlar	Small molecule inhibitor	BRAF	BRAF	Melanoma (with BRAF V600 mutation)
