primary_gene_name	entrez_gene_id	reported_gene_name	pubchem_drug_id	pubchem_drug_name	source_reported_drug_name	drug_trade_name	drug_development_name	primary_drug_name	drug_class	interaction_type	pharmaceutical_developer	data_source	cancer_type
BRAF	673	BRAF (V660) E/K	42611257	PLX4032	Vemurafenib/Zelboraf/PLX4032 RO 5185426	Vemurafenib	Zelboraf	Zelboraf	RAF Inhibitor	Inhibition	Genentech	CancerCommons	Melanoma
BRAF	673	BRAF	44462760	GSK 2118436	Dabrafenib/GSK2118436	Dabrafenib	Dabrafenib	Dabrafenib	RAF Inhibitor	Inhibition	GlaxoSmithKline	CancerCommons	Melanoma
BRAF	673	BRAF	na	na	LGX818	LGX818	LGX818	LGX818	RAF Inhibitor	Inhibition	Novartis	CancerCommons	Melanoma
BRAF	673	Pan-RAF	11656518	RAF265	RAF265/CHIR-265 pan-RAF	RAF265	CHIR-265	CHIR-265	RAF Inhibitor	Inhibition	Novartis	CancerCommons	Melanoma
BRAF 	673	BRAF V600E	na	na	RO5212054 /PLX3603/	RO5212054	PLX3603	PLX3603	RAF Inhibitor	Inhibition	Hoffmann-La Roche	CancerCommons	Melanoma
MAP2K1	5604	MEK	na	na	RO4987655	RO4987655	RO4987655	RO4987655	MEK Inhibitor	Inhibition	Hoffmann-La Roche	CancerCommons	Melanoma
MAP2K1	5604	MEK	11707110	GSK 1120212	MEK162 trametinib/ GSK1120212	Trametinib	GSK1120212	Mekinist	MEK Inhibitor	Inhibition	GlaxoSmithKline	CancerCommons	Melanoma
MAP2K1	5604	MEK	16222096	GDC-0973	GDC-0973/XL518	XL518	GDC-0973	GDC-0973	MEK Inhibitor	Inhibition	Exelixis	CancerCommons	Melanoma
MAP2K1	5604	MEK	24963252	TAK-733	TAK-733	TAK-733	TAK-733	TAK-733	MEK Inhibitor	Inhibition	Millennium Pharmaceuticals	CancerCommons	Melanoma
MAP2K1	5604	MEK	10127622	AZD6244	AZD6244/selumetinib	Selumetinib	AZD6244	AZD6244	MEK Inhibitor	Inhibition	AstraZenica	CancerCommons	Melanoma
MAP2K1	5604	MEK	44187362	N-(2,3-dihydroxypropyl)-1-((2-fluoro-4-iodophenyl)amino)isonicotinamide	MSC1936369B/pimasertib	Pimasertib	MSC1936369B	MSC1936369B	MEK Inhibitor	Inhibition	Merck	CancerCommons	Melanoma
