gene_name	entrez_gene_id	reported_drug_response	reported_gene_name	drug_name	drug_trade_name	pubchem_id	drug_class	drug_subclass	linked_class_info	interaction_type
AKT1	207	Sensitivity	AKT MUT/AMP	 ARQ092			AKT Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/pi3k-inhibitors.aspx	Biomarker
AKT1	207	Sensitivity	AKT MUT/AMP	MK2206		46930998	AKT Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/pi3k-inhibitors.aspx	Biomarker
AKT1	207	Sensitivity	AKT MUT/AMP	Triciribine		65399	AKT Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/pi3k-inhibitors.aspx	Biomarker
ATM	427	Sensitivity	ATM MUT	BMN673		44819242	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATM	427	Sensitivity	ATM MUT	E7449			PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATM	427	Sensitivity	ATM MUT	Niraparib		24958200	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATM	427	Sensitivity	ATM MUT	Olaparib		23725625	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATM	427	Sensitivity	ATM MUT	Rucaparib		9931954	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATM	427	Sensitivity	ATM MUT	Veliparib		11960529	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATR	545	Sensitivity	ATR MUT	BMN673		44819242	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATR	545	Sensitivity	ATR MUT	E7449			PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATR	545	Sensitivity	ATR MUT	Niraparib		24958200	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATR	545	Sensitivity	ATR MUT	Olaparib		23725625	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATR	545	Sensitivity	ATR MUT	Rucaparib		9931954	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
ATR	545	Sensitivity	ATR MUT	Veliparib		11960529	PARP Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/parp-inhibitors.aspx	Biomarker
BCL2	596	Resistance	Bcl-2	Carboplatin	Paraplatin	10339178	Platinum	Cytotoxic Drugs	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/cytotoxic-drugs/platinum-drugs.aspx	Biomarker
BCL2	596	Resistance	Bcl-2	Cisplatin	Platinol	84093	Platinum	Cytotoxic Drugs	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/cytotoxic-drugs/platinum-drugs.aspx	Biomarker
BCL2	596	Resistance	Bcl-2	Oxaliplatin	Eloxatin	5310940	Platinum	Cytotoxic Drugs	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/cytotoxic-drugs/platinum-drugs.aspx	Biomarker
BIRC5	332	Resistance	Survivin	Docetaxel	Taxotere	148124	Taxanes	Cytotoxic Drugs	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/cytotoxic-drugs/taxanes.aspx	Biomarker
BIRC5	332	Resistance	Survivin	Paclitaxel	Taxol	36314	Taxanes	Cytotoxic Drugs	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/cytotoxic-drugs/taxanes.aspx	Biomarker
BRAF	673	Sensitivity	BRAF MUT	Vemurafenib	Zelboraf	42611257	B-RAF Inhibitors	Clinical Trial Agents (Approved in other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents/braf-inhibitors.aspx	Biomarker
BRAF	673	Sensitivity	BRAF MUT/AMP	GDC-0973		16222096	MEK Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/mek-inhibitors.aspx	Biomarker
BRAF	673	Sensitivity	BRAF MUT/AMP	MEK162		10288191	MEK Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/mek-inhibitors.aspx	Biomarker
BRAF	673	Sensitivity	BRAF MUT/AMP	PD-325901		9826528	MEK Inhibitors	Clinical Trial Agents (For Ovarian and other Cancers)	https://www.clearityfoundation.org/healthcare-pros/drugs-bio/clinicla-trial-agents-ovarian/mek-inhibitors.aspx	Biomarker
