Molecular Target	Entrez Gene Name	Enterez Gene Id	Drug name	Other drug name	Pubchem name	CID	SID	Interaction type	Mode of action	Clinical Trial ID(s)	Detail	Phase	Include this entry?	Comments
ALK1 ligands (TGFbeta family)	ACVRL1	94	Dalantercept	ACE-041, ALK1-Fc Fusion Protein ACE-041	Dalantercept	N/A	160693095	inhibitor	ALK1 inhibitor	NCT01720173	Recurrent epithelial ovarian cancer A Phase II Evaluation of Dalantercept (NSC #75172, IND #116598), a Novel Soluble Recombinant Activin Receptor-Like Kinase 1 (ALK-1) Inhibitor Receptor Fusion Protein, in the Treatment of Persistent or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
AKT1-3	AKT1	207	GSK2141795	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01138085	Advanced Solid Tumors A Phase I Dose Escalation Open-Label Safety and Pharmacokinetic Study to Determine the Recommended Phase II Dose of GSK1120212 Dosed in Combination With GSK2141795 in Subjects With Solid Tumors (Part 1) and in Subjects With Pancreatic Cancer, Endometrial Cancer or Colorectal Cancer (Part 2)	I	1	
AKT1-3	AKT1	207	AZD5363	Akt inhibitor AZD5363	AZD5363	25227436	N/A	inhibitor	Akt inhibitor	NCT01226316	Advanced Solid Tumors; Ovarian Cancer; AKT1 or PIK3CA mutant cancers A Phase I, Open-Label, Multicentre Study to Assess the Safety, Tolerability, Pharmacokinetics and Preliminary Anti-tumour Activity of Ascending Doses of AZD5363 Under Adaptable Dosing Schedules in Patients With Advanced Solid Malignancies.	I	1	
AKT1-3	AKT1	207	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01245205	Advanced Solid Tumors A Phase I Study of MK-2206 in Combination With Lapatinib in Refractory Solid Tumors Followed by Dose-expansion in Advanced HER2+ Breast Cancer	I	1	
AKT1-3	AKT1	207	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01295632	Relapsed or refractory ovarian cancer Phase I Parallel Protocol of MK-8669 (Ridaforolimus) + MK-2206 and MK-8669 (Ridaforolimus) + MK-0752 Doublets (MK-MK) in Patients With Advanced Cancer	I	1	
AKT1-3	AKT1	207	ARQ092	N/A	N/A	N/A	N/A	inhibitor	pan-AKT inhibitor	NCT01473095	Advanced solid tumors Phase 1 Dose Escalation Study of ARQ 092 in Adult Subjects With Advanced Solid Tumors	I	1	
AKT1-3	AKT1	207	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01480154	Advanced Solid Tumors A Phase I Trial of MK-2206 and Hydroxychloroquine in Solid Tumors, Melanoma, Renal and Prostate Cancer to Examine the Role of Autophagy in Tumorigenesis	I	1	
AKT1-3	AKT1	207	GSK2141795	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01902173	BRAF V600 mutant metastatic cancer Phase I/II Study of the Safety and Efficacy of the AKT Inhibitor GSK2141795 in Combination With the BRAF Inhibitor Dabrafenib in Patients With BRAF Mutant Cancer	I	1	
AKT1-3	AKT1	207	SAR260301	N/A	N/A	N/A	N/A	inhibitor	Akt inhibitor	NCT01673737	Advanced Solid Tumors A Phase I/Ib Study for the Evaluation of SAR260301, Administered Orally in Monotherapy in Patients With Advanced Solid Tumors or Lymphomas, and in Combination With Vemurafenib in Patients With Unresectable / Metastatic BRAF-mutated Melanoma	I/Ib	1	
AKT1-3	AKT1	207	Afuresertib	GSK2110183	Afuresertib hydrochloride	46843056	N/A	inhibitor	Akt inhibitor	NCT01653912	Recurrent platinum-resistant ovarian cancer An Open-Label Phase I/II Study of GSK2110183 in Combination With Carboplatin and Paclitaxel in Subjects With Platinum-Resistant Ovarian Cancer	I/II	1	
AKT1-3	AKT1	207	Triciribine	API-2, triciribine phosphate, tricyclic nucleoside, tricycloside phosphate	Triciribine	65399	N/A	inhibitor	Akt inhibitor	NCT01690468	recurrent or persistent, platinum-resistant epithelial ovarian, fallopian tube or primary peritoneal carcinoma Leveraging a Clinico-Genomic Database to Match Patients to a Trial of Triciribine and Carboplatin: Changing Paradigms in Ovarian Cancer Clinical Research	I/II	1	
AKT1-3	AKT1	207	MK2206	Akt Inhibitor MK2206	MK2206	46930998	N/A	inhibitor	Akt inhibitor	NCT01235897	Advanced HER2-overexpressing solid tumors A Phase Ib Dose-escalation Trial of the AKT Inhibitor MK2206 in Combination With Weekly Paclitaxel With or Without Trastuzumab	Ib	1	
AKT1-3	AKT1	207	GDC-0068	Akt Inhibitor GDC-0068	GDC-0068	24788740	N/A	inhibitor	Akt inhibitor	NCT01562275	Locally advanced or metastatic solid tumors A Phase Ib, Open-Label, Dose-Escalation Study of the Safety, Tolerability and Pharmacokinetics of GDC-0973 and GDC-0068 in Patients With Locally Advanced or Metastatic Solid Tumors	Ib	1	
