"compound_id","compound_name","gene_names","pubmed_id","ep_action_mode","activity_comment"
"CHEMBL259850","AR-A014418","RPS6KB1","","","active"
"CHEMBL1867091","RIMSULFURON","AHR","","","active"
"CHEMBL220241","GSK-269962A","PIM3","","","active"
"CHEMBL531322","TCMDC-124544","ADRB2","","","active"
"CHEMBL267548","PROTOPORPHYRIN","RGS4","","","active"
"CHEMBL476501","(+)-TETRAHYDROBERBERINE","CYP2D6","","","Active"
"CHEMBL1360594","CHAULMOSULFONE","USP2","","","Active"
"CHEMBL415324","TRANILAST","ARSA","","","active"
"CHEMBL508338","THIOMERSAL","AR","","","active"
"CHEMBL254348","GRAMINE","TSHR","","","Active"
"CHEMBL1513392","AY-9944","CYP2D6","","","Active"
"CHEMBL433461","RO-046790","CYP3A4","","","Active"
"CHEMBL151","LUTEOLIN","NFKB1, NFKB2, RELA","25190466","","Active"
"CHEMBL608855","GNF-PF-2300","KCNH2","","","Active"
"CHEMBL65","CAMPTOTHECIN","TOP1","23920485","","Active"
"CHEMBL2177390","IPATASERTIB","AKT1","22934575","","Active"
"CHEMBL43482","MITONAFIDE","POLI","","","active"
"CHEMBL530361","GNF-PF-1083","IDH1","","","active"
"CHEMBL18785","RU-24969","USP1","","","active"
"CHEMBL502","DONEPEZIL","ACHE","25282266","","Active"
"CHEMBL482967","CYC-116","CAMK2G","","","active"
"CHEMBL1079460","LY-367265","EHMT2","","","Active"
"CHEMBL276711","SEMAXANIB","MPHOSPH8","","","Active"
"CHEMBL1162298","ALPHA,BETA-METHYLENE-DCTP","POLB","18811136","","Active"
"CHEMBL460574","LEVISOPRENALINE","EHMT2","","","Active"
"CHEMBL1201199","LEUPROLIDE","CYP2C19","22931300","","Active"
"CHEMBL600694","GNF-PF-1134","GMNN","","","active"
"CHEMBL1173055","RUCAPARIB","PIM1","","","active"
"CHEMBL1089641","TRYPAN BLUE","KMT2A","","","Active"
"CHEMBL506538","TRIPHENYLSTANNANOL","KAT2A","","","Active"
"CHEMBL28","APIGENIN","SMN1, SMN2","","","Active"
"CHEMBL286494","HYPERICIN","BLM","","","Active"
"CHEMBL1670","MITOTANE","KCNH2","","","active"
"CHEMBL468167","CHLOROTHALONIL","MAPK1","","","Active"
"CHEMBL184450","3,3',5,5'-TETRABROMOBISPHENOL A","HSD17B10","","","Active"
"CHEMBL408563","CID 5310655","TP53","","","Active"
"CHEMBL559612","CP-55940","CNR1","","","Active"
"CHEMBL1256686","CALCIMYCIN","DRD1","","","Active"
"CHEMBL1980391","RG-1530","TAOK1","","","active"
"CHEMBL193","NIFEDIPINE","MAPK1","","","Active"
"CHEMBL1256180","5-(N-METHYL-N-ISOBUTYL)AMILORIDE","MPHOSPH8","","","Active"
"CHEMBL81782","GNF-PF-3148","ALPL","","","Active"
"CHEMBL6206","BROMOENOL LACTONE","ATAD5","","","Active"
"CHEMBL428690","ALVOCIDIB","CDK9","18469809","","Active"
"CHEMBL62136","T091317","NR1H2, NR1H3","24268541","","Active"
"CHEMBL2146124","CEFUROXIME SODIUM","POLI","","","active"
"CHEMBL1966436","AUSTOCYSTIN D","ABCB1","21348461","","Active"
"CHEMBL543876","GBR-12909","KCNH2","","","active"
"CHEMBL164","MYRICETIN","PLK1","","","active"
"CHEMBL463783","NSC-130813","RAD52","","","active"
"CHEMBL266963","COMPSTATIN","C3","25494040","","Active"
"CHEMBL458094","4-HYDROXYDERRICIN","GMNN","","","active"
"CHEMBL27769","STANOLONE","RORC","","","active"
"CHEMBL88147","MRS-1220","CYP2C9","","","Active"
"CHEMBL602923","SJ000201788","GLP1R","","","active"
"CHEMBL186784","XANTHONE","HSD17B10","","","Active"
"CHEMBL71294","BRL-52537","CYP3A4","","","Active"
"CHEMBL450786","PHA-665752","MET","18077425","","Active"
"CHEMBL105","MITOMYCIN","CYP3A4","22931300","","Active"
"CHEMBL19224","PAPAVERINE","CYP2C19","","","Active"
"CHEMBL101892","SANGIVAMYCIN","BCL2L1","17371872","","Active"
"CHEMBL590927","SJ000018300","HSP90AA1","","","active"
"CHEMBL258805","INDIRUBIN SULFATE","BAZ2B","","","Active"
"CHEMBL35482","PD-98059","PKM","","","Active"
"CHEMBL280998","CATECHOL","HPGD","","","Active"
"CHEMBL290106","BITHIONOL","MCL1","","","Active"
