ensembl_id	ensembl_gene_symbol	ensembl_gene_biotype
ENSG00000244656	CU463998.3	MIRNA
ENSG00000127720	C12ORF26	PROTEIN_CODING
ENSG00000224440	CXORF51A	LINCRNA
ENSG00000261140	RP11-20I23.6	ANTISENSE
ENSG00000221200	MIR1253	MIRNA
ENSG00000266468	AL031284.1	MIRNA
ENSG00000237787	C3ORF79	PROTEIN_CODING
ENSG00000051596	THOC3	PROTEIN_CODING
ENSG00000250532	RP11-727M10.1	ANTISENSE
ENSG00000236211	AC068137.5	PSEUDOGENE
ENSG00000228738	HCG23	PROCESSED_TRANSCRIPT
ENSG00000252559	SNORD112	SNORNA
ENSG00000236118	LL22NC03-30E12.10	PSEUDOGENE
ENSG00000214684	AC003045.1	PSEUDOGENE
ENSG00000213697	RP11-513I7.2	PSEUDOGENE
ENSG00000135541	AHI1	PROTEIN_CODING
ENSG00000262144	RP11-655D3.2	ANTISENSE
ENSG00000252927	RN5S404	RRNA
ENSG00000212066	AL645941.1	MIRNA
ENSG00000143376	SNX27	PROTEIN_CODING
ENSG00000256006	AC084117.3	SENSE_INTRONIC
ENSG00000258324	RP11-536C10.22	PSEUDOGENE
ENSG00000206917	U1	SNRNA
ENSG00000172172	MRPL13	PROTEIN_CODING
ENSG00000100218	RTDR1	PROTEIN_CODING
ENSG00000262864	RPS27P14	PSEUDOGENE
ENSG00000199273	Y_RNA	MISC_RNA
ENSG00000132604	TERF2	PROTEIN_CODING
ENSG00000225937	PCA3	ANTISENSE
ENSG00000111218	PRMT8	PROTEIN_CODING
ENSG00000254025	RP11-119N19.1	PSEUDOGENE
ENSG00000142185	TRPM2	PROTEIN_CODING
ENSG00000228682	RP11-439L8.3	LINCRNA
ENSG00000162676	GFI1	PROTEIN_CODING
ENSG00000131724	IL13RA1	PROTEIN_CODING
ENSG00000259444	RP11-736N17.8	SENSE_OVERLAPPING
ENSG00000224647	AC026954.6	PSEUDOGENE
ENSG00000258527	ASB9P1	PSEUDOGENE
ENSG00000213417	KRTAP2-4	PROTEIN_CODING
ENSG00000232842	RP5-961K14.1	PSEUDOGENE
ENSG00000263587	METAZOA_SRP	MISC_RNA
ENSG00000257711	RP11-482D24.2	PROCESSED_TRANSCRIPT
ENSG00000235293	AC114814.3	LINCRNA
ENSG00000112812	PRSS16	PROTEIN_CODING
ENSG00000263861	MIR3927	MIRNA
ENSG00000258050	RP11-698F20.3	LINCRNA
ENSG00000128595	CALU	PROTEIN_CODING
ENSG00000136531	SCN2A	PROTEIN_CODING
ENSG00000260658	RP11-368L12.1	LINCRNA
ENSG00000175220	ARHGAP1	PROTEIN_CODING
ENSG00000176115	AQP7P4	PSEUDOGENE
ENSG00000186479	RGS7BP	PROTEIN_CODING
ENSG00000225469	RP3-406C18.2	PSEUDOGENE
ENSG00000168283	BMI1	PROTEIN_CODING
ENSG00000228175	GEMIN8P4	PSEUDOGENE
ENSG00000264950	AC113208.1	MIRNA
ENSG00000257244	BX248408.1	PROTEIN_CODING
ENSG00000249474	RP11-49I4.3	ANTISENSE
ENSG00000034510	TMSB10	PROTEIN_CODING
ENSG00000231351	AC111200.7	PSEUDOGENE
ENSG00000100652	SLC10A1	PROTEIN_CODING
ENSG00000256404	AC109133.1	PSEUDOGENE
ENSG00000258472	RP11-192H23.4	PROTEIN_CODING
ENSG00000174684	B3GNT1	PROTEIN_CODING
ENSG00000206283	PFDN6	PROTEIN_CODING
ENSG00000226356	RPS6P20	PSEUDOGENE
ENSG00000230283	RPS12P24	PSEUDOGENE
ENSG00000258081	RP11-384J4.2	LINCRNA
ENSG00000237472	AP000361.2	PSEUDOGENE
ENSG00000251152	RP11-281P23.1	LINCRNA
ENSG00000201292	U6	SNRNA
ENSG00000263509	AC078988.1	MIRNA
ENSG00000222460	7SK	MISC_RNA
ENSG00000131652	THOC6	PROTEIN_CODING
ENSG00000107185	RGP1	PROTEIN_CODING
ENSG00000224995	RP5-991C6.3	LINCRNA
ENSG00000256967	RP11-273B20.1	ANTISENSE
ENSG00000248449	PCDHGB8P	PSEUDOGENE
