entrez_id	entrez_gene_symbol	entrez_gene_synonyms	ensembl_ids
57573	ZNF471	ERP1,Z1971	ENSG00000196263
8563	THOC5	C22orf19,Fmip,PK1.3,fSAP79	ENSG00000100296
28801	IGLV3-13	IGLV313,V2-9P	
94151	CDRT8		
127086	LOC127086		
252954	TTTY22	NCRNA00147	
3509	IGHV@	IGHV	
100462809	RSL24D1P8		
100874069	STK24-AS1		
7652	ZNF99	C19orf9,F8281	
1387	CREBBP	CBP,KAT3A,RSTS	ENSG00000005339
150275	CCDC117	dJ366L4.1	ENSG00000159873
1785	DNM2	CMT2M,CMTDI1,CMTDIB,DI-CMTB,DYN2,DYNII	ENSG00000079805
100169764	RNA5S13	RN5S13	
440556	FLJ42875		
9363	RAB33A	RabS10	ENSG00000134594
284661	LOC284661		
51599	LSR	ILDR3,LISCH7	ENSG00000105699
26844	RNU3P2	U3,U3.2	
100132712	LOC100132712		
100499398	DYZ1L4		
693222	MIR637	MIRN637,hsa-mir-637	
100313893	PIRC28		
100873664	RNA5SP413	RN5S413	
646620	RPL3P8	RPL3_4_835	
79618	HMBOX1	HNF1LA,PBHNF	ENSG00000147421
6531	SLC6A3	DAT,DAT1	ENSG00000142319
7022	TFAP2C	AP2-GAMMA,ERF1,TFAP2G,hAP-2g	ENSG00000087510
100420818	LOC100420818		
1638	DCT	TRP-2,TYRP2	ENSG00000080166
25953	PNKD	BRP17,DYT8,FPD1,KIPP1184,MR-1,MR1,PDC,PKND1,TAHCCP2	ENSG00000127838
286002	SLC26A4-AS1		
85290	KRTAP4-3	KAP4.3	ENSG00000196156
2203	FBP1	FBP	ENSG00000165140
100874336	ARID4B-IT1		
91373	UAP1L1	RP11-229P13.18	ENSG00000197355
114836	SLAMF6	CD352,KALI,KALIb,Ly108,NTB-A,NTBA,SF2000	ENSG00000162739
337879	KRTAP8-1	KAP8.1	ENSG00000183640
79805	VASH2	RP11-275G3.1	ENSG00000143494
100422872	MIR1244-3		
84275	SLC25A33	BMSC-MCP,PNC1	ENSG00000171612
100996694	LOC100996694		
729774	LOC729774		
79529	OR52J2P	OR52J4P	
167465	ZNF366	DCSCRIPT	ENSG00000178175
84214	DKFZP434F142		
388667	C1orf137		
100169751	RNA5S1	RN5S1	
26831	RNU5A-1	RNU5,RNU5A,RNU5C,U5A,U5B1	
100873437	RNA5SP173	RN5S173	
374395	TMEM179B		ENSG00000185475
90806	ANGEL2	KIAA0759L	ENSG00000174606
84467	FBN3		ENSG00000142449
282996	RBM20		ENSG00000203867
57658	CALCOCO1	Cocoa,calphoglin	ENSG00000012822
5804	PTPRZ2	HTPZP2,PTPRZ	
100132195	TRIM60P13		
81431	OR5AC1	OR5AC1P	
9968	MED12	ARC240,CAGH45,FGS1,HOPA,MED12S,OKS,OPA1,TNRC11,TRAP230	ENSG00000184634
286016	TPI1P2		
100379215	QTV		
56666	PANX2	PX2,hPANX2	ENSG00000073150
100506058	LOC100506058		
