Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000094914	AAAS		"Aladin WD repeat nucleoporin"	Q9NRG9	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000090861	AARS	"AlaRS, CMT2N"	"Alanyl-tRNA synthetase"	P49588	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000124608	AARS2	"AARSL, bA444E17.1, KIAA1270"	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000008311	AASS	"LKRSDH, LORSDH"	"Aminoadipate-semialdehyde synthase"	Q9UDR5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000144452	ABCA12	"DKFZP434G232, ICR2B, LI2"	"ATP binding cassette subfamily A member 12"	Q86UK0	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000167972	ABCA3	"ABC-C, ABC3, EST111653, LBM180"	"ATP binding cassette subfamily A member 3"	Q99758	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000198691	ABCA4	"ABCR, ARMD2, CORD3, FFM, RP19, STGD, STGD1"	"ATP binding cassette subfamily A member 4"	P78363	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000064687	ABCA7	ABCX	"ATP binding cassette subfamily A member 7"	Q8IZY2	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000085563	ABCB1	"ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1"	"ATP binding cassette subfamily B member 1"	P08183	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000073734	ABCB11	"ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP"	"ATP binding cassette subfamily B member 11"	O95342	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000005471	ABCB4	"GBD1, MDR2, MDR3, PFIC-3, PGY3"	"ATP binding cassette subfamily B member 4"	P21439	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000115657	ABCB6	"EST45597, MTABC3, umat"	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000131269	ABCB7	"ABC7, ASAT, Atm1p, EST140535"	"ATP binding cassette subfamily B member 7"	O75027	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000091262	ABCC6	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	"ATP binding cassette subfamily C member 6"	O95255	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000101986	ABCD1	"adrenoleukodystrophy, ALD, ALDP, AMN"	"ATP binding cassette subfamily D member 1"	P33897	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000117528	ABCD3	"PMP70, PXMP1, ZWS2"	"ATP binding cassette subfamily D member 3"	P28288	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000119688	ABCD4	"EST352188, P70R, PMP69, PXMP1L"	"ATP binding cassette subfamily D member 4"	O14678	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000138075	ABCG5	STSL	"ATP binding cassette subfamily G member 5"	Q9H222	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000143921	ABCG8	GBD4	"ATP binding cassette subfamily G member 8"	Q9H221	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000100997	ABHD12	"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106"	"Abhydrolase domain containing 12"	Q8N2K0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000011198	ABHD5	"CGI-58, NCIE2"	"Abhydrolase domain containing 5"	Q8WTS1	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000278540	ACACA	"ACAC, ACC, ACC1"	"Acetyl-CoA carboxylase alpha"	Q13085	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000117054	ACADM	"ACAD1, MCAD, MCADH"	"Acyl-CoA dehydrogenase medium chain"	P11310	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000122971	ACADS	"ACAD3, SCAD"	"Acyl-CoA dehydrogenase short chain"	P16219	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000196177	ACADSB	"ACAD7, SBCAD"	"Acyl-CoA dehydrogenase short/branched chain"	P45954	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000072778	ACADVL	"ACAD6, LCACD, VLCAD"	"Acyl-CoA dehydrogenase very long chain"	P49748	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000075239	ACAT1	"ACAT, THIL"	"Acetyl-CoA acetyltransferase 1"	P24752	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000100412	ACO2	ACONM	"Aconitase 2"	Q99798	"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000161533	ACOX1	PALMCOX	"Acyl-CoA oxidase 1"	Q15067	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000168306	ACOX2	"BRCACOX, BRCOX, THCCox"	"Acyl-CoA oxidase 2"	Q99424	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000134575	ACP2	LAP	"Acid phosphatase 2, lysosomal"	P11117	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000142513	ACP4	ACPT	"Acid phosphatase 4"	Q9BZG2	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000102575	ACP5	"HPAP, TRAP"	"Acid phosphatase 5, tartrate resistant"	P13686	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000068366	ACSL4	"ACS4, FACL4, LACS4, MRX63, MRX68"	"Acyl-CoA synthetase long chain family member 4"	O60488	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000164398	ACSL6	"ACS2, FACL6, KIAA0837, LACS2, LACS5"	"Acyl-CoA synthetase long chain family member 6"	Q9UKU0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000077522	ACTN2		"Actinin alpha 2"	P35609	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000115170	ACVR1	"ACVR1A, ACVRLK2, ALK2, SKR1"	"Activin A receptor type 1"	Q04771	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000135503	ACVR1B	"ActRIB, ACVRLK4, ALK4, SKR2"	"Activin A receptor type 1B"	P36896	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000114739	ACVR2B	ActR-IIB	"Activin A receptor type 2B"	Q13705	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000139567	ACVRL1	"ACVRLK1, ALK1, HHT, HHT2, ORW2"	"Activin A receptor like type 1"	P37023	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000243989	ACY1		"Aminoacylase 1"	Q03154	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000093072	ADA2	"ADGF, CECR1, IDGFL"	"Adenosine deaminase 2"	Q9NZK5	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000137845	ADAM10	"CD156c, HsT18717, kuz, MADM"	"ADAM metallopeptidase domain 10"	O14672	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000151694	ADAM17	"CD156B, cSVP, TACE"	"ADAM metallopeptidase domain 17"	P78536	"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000160323	ADAMTS13	"C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP"	"ADAM metallopeptidase with thrombospondin type 1 motif 13"	Q76LX8	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000087116	ADAMTS2	"ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP"	"ADAM metallopeptidase with thrombospondin type 1 motif 2"	O95450	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000160710	ADAR	"ADAR1, G1P1, IFI4"	"Adenosine deaminase, RNA specific"	P55265	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000164742	ADCY1	"AC1, DFNB44"	"Adenylate cyclase 1"	Q08828	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000143199	ADCY10	"HCA2, RP1-313L4.2, SAC, SACI, Sacy"	"Adenylate cyclase 10"	Q96PN6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
