Disease	MyCancerGenome Gene category	genes	Entrez gene name	Gene ID	Drug name	pubchem drug name	pubchem drug id	Other drug names	clinical trial ID	indication of drug-gene interaction	Interaction type
Acute Myeloid Leukemia	CBFB-MYH11	CBFB-MYH11 Fusion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Lymphoblastic Leukemia	CRLF2	JAK2	JAK2	3717	INCB18424	INCB018424	25126798	N/A	NCT01164163	Purpose: INCB18424 may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth. %Official title: Study of JAK Inhibition (INCB018424)	inhibitor
Acute Lymphoblastic Leukemia	CRLF2	CRLF2	64109	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	DEK-NUP214	DEK-NUP214	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	DNMT3A	DNMT3A	1788	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Azacitidine	Azacitidine	9444	N/A	NCT00887068	Inclusion criteria: patients in first complete remission that required more than 1 cycle of treatment to achieve the remission, or that have AML evolving from MDS, or that had the following abnormalities: FLT3 mutation, deletion of chromosome 5 or 7, MLL gene rearrangement, or more than or equal to 3 cytogenetics abnormalities.	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	CLARA	N/A	N/A	N/A	NCT00932412	Inlcusion criteria: A morphologically proven diagnosis of AML according to the WHO classification, cytogenetically (standard karyotype, FISH-MLL) and molecularly (FLT3, CEBPA, NMP1) defined.	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Sorafenib	Sorafenib Tosylate	406563	N/A	NCT00943943	Official title: G-CSF and Plerixafor With Sorafenib for Acute Myelogenous Leukemia With FLT3 Mutations. %Inclusion criteria: Patients must have relapsed/refractory leukemia with FLT3 (ITD) mutations.	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	midostaurin 	4'-N-benzoylstaurosporine	104937	N/A	NCT01093573	Detailed description:  To correlate treatment response with FLT3 mutational status in a descriptive fashion. To measure in vivo FLT3 inhibition using plasma inhibition assay (PIA) and Flt ligand (FL) levels in patients. 	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	midostaurin 	4'-N-benzoylstaurosporine	104937	N/A	NCT01174888	Detailed description: Characterize the biological activity of midostaurin and bortezomib to potentially increase endogenous phosphatase activity and therefore inhibit aberrant tyrosine kinases by assessing FLT3(fetal liver kinase-2)and KIT tyrosine kinase activity as well as SHP-1 phosphatase activity.	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	N/A	Clofarabine	Clofarabine	119182	N/A	NCT01252667	Detailed description: Prognostic significance of cytogenetics and genetic markers not detected by traditional karyotype analysis, with special respect to tyrosine kinase receptor mutations (such as fms-like tyrosine kinase 3 [FLT3]), RAS- and nucleophosmin gene mutations along with CCAAT/enhancer binding protein, alpha (C/EBP) mutations.	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	N/A	Omacetaxine	homoharringtonine 	285033	N/A	NCT01272245	Inclusion criteria:  Prior therapy with hydroxyurea, biological or targeted therapy (e.g. flt3 inhibitors, other kinase inhibitors, azacitidine), or hematopoietic growth factors is allowed.	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Idarubicine	Idarubicine	42890	N/A	NCT01296178	Purpose: Karyotype, the molecular alterations affecting genes FLT3, NPM1 and CEBPA, minimal residual disease by flow cytometry and response to first induction cycle are variables that must be taken into consideration when planning the treatment of first line from a patient with AML.	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	N/A	TXA127	N/A	N/A	N/A	NCT01300611	Inclusion criteria: with high-risk cytogenetics or presence of flt3 mutation or secondary leukemia from prior chemotherapy	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	N/A	Tacrolimus 	Tacrolimus 	445643	N/A	NCT01342289	Inclusion criteria: AML with at least one of the following: AML arising from MDS or a myeloproliferative disorder, or secondary AML Presence of Flt3 internal tandem duplications Poor-risk cytogenetics Primary refractory disease	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	PLX3397	N/A	N/A	N/A	NCT01349049	Inclusion criteria: Positive for Flt3-ITD activating mutation during Screening	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Sorafenib	Sorafenib Tosylate	406563	N/A	NCT01398501	Purpose: It has been used in other studies for patients with AML with the FLT3-ITD mutation and information from these studies suggests that sorafenib may help to control leukemia. %Inclusion criteria: Subjects with AML with the FLT3-ITD mutation	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	N/A	Cyclophosphamide	Cyclophosphamide	2907	N/A	NCT01427881	N/A	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NCT01471067	N/A	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Midostaurin	4'-N-benzoylstaurosporine	104937	N/A	NCT01477606	Purpose: This is a phase II, single-arm, open-label, multi-center study in adult patients with Acute Myeloid Leukemia (AML) and FLT3-ITD as defined in inclusion/exclusion criteria. %Inclusion criteria: Presence of FLT3-ITD assessed in the central AMLSG reference laboratories	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Crenolanib	crenolanib 	10366136	N/A	NCT01522469	Inclusion criteria: Presence of a FLT3-D835 activating mutation irrespective of presence of other mutations like FLT3-ITD. %Exclusion criteria: Absence of FLT3-D835 activating mutation	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	N/A	Fludarabine Phosphate	Fludarabine Phosphate	30751	N/A	NCT01529827	N/A	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Bortezomib	Bortezomib	387447	N/A	NCT01534260	Official title: Bortezomib for the Treatment of Acute Myeloid Leukemia With Complex- or Poor-risk (Monosomy 5/7) Cytogenetics or FLT3-ITD Positive Genotype	inhibitor
Acute Myeloid Leukemia	FLT3	N/A	N/A	2322	Vorinostat	Vorinostat	5311	N/A	NCT01534260	N/A	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Clofarabine	Clofarabine	119182	N/A	NCT01534702	Inclusion criteria: absence of an activating FLT3-mutation	inhibitor
Acute Myeloid Leukemia	FLT3	FLT3	FLT3	2322	Crenolanib	crenolanib 	10366136	N/A	NCT01657682	Purpose: his study will enroll subjects with relapsed Acute Myeloid Leukemia (AML) with FLT3 activating mutations. %Detailed description: This study will enroll subjects with relapsed Acute Myeloid Leukemia (AML) with FLT3 activating mutations. %Inclusion criteria: onfirmed primary AML diagnosis with presence of either FLT3 ITD and/or other FLT3 activating mutations. %Exclusion criteria: Absence of a FLT3 activating mutation. %Keywords: FLT3	inhibitor
Acute Myeloid Leukemia	IDH1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	IDH2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Lymphoblastic Leukemia	JAK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	KIT	KIT	KIT	3815	midostaurin 	4'-N-benzoylstaurosporine	104937	N/A	NCT01174888	Detailed description: Characterize the biological activity of midostaurin and bortezomib to potentially increase endogenous phosphatase activity and therefore inhibit aberrant tyrosine kinases by assessing FLT3(fetal liver kinase-2)and KIT tyrosine kinase activity as well as SHP-1 phosphatase activity.	inhibitor
Acute Myeloid Leukemia	KIT	CD30	TNFRSF8	943	brentuximab	N/A	N/A	N/A	NCT01461538	Purpose: brentuximab vedotin as a single agent in patients with CD30-positive nonlymphomatous malignancies. %Official title: Brentuximab Vedotin in Patients With CD30-positive Nonlymphomatous Malignancies. %Inclusion criteria: Histologically-confirmed by central review CD30-positive nonlymphomatous malignancy.	inhibitor
Acute Myeloid Leukemia	MLL-MLLT3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	PML-RARA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	RBM15-MKL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	RPN-EVI1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
Acute Myeloid Leukemia	RUNX1-RUNX1T1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor
anaplastic large cell lymphoma	ALK	ALK	ALK	238	N/A	N/A	N/A	N/A	NCT01110733	Inclusion criteria: Anaplastic large cell lymphoma (ALCL), primary systemic type (ALK+, ALK-)	inhibitor
anaplastic large cell lymphoma	ALK	ALK	ALK	238	LDK378	1032900-25-6	57379345	N/A	NCT01742286	Official title: Study of LDK378 in Pediatric Patients With Malignancies That Have a Genetic Alteration in Anaplastic Lymphoma Kinase (ALK). %Purpose: LDK378 as a single agent, assess safety, tolerability and anti-tumor activity and characterize single and multiple-dose pharmacokinetics when administered orally to pediatric patients with ALK-activated tumors. %Detailed description: LDK378 is a novel inhibitor of ALK	inhibitor
anaplastic large cell lymphoma	ALK	ALK	ALK	238	Crizotinib	crenolanib 	11626560	Crizotinib	NCT01744652	Purpose: Dasatinib is designed to block certain proteins from causing cancer cells to grow out of control. Crizotinib is designed to block certain abnormal genes found in cancer cells. %Inclusion criteria: patients presenting any molecular abnormality of interest, which can include an ALK translocation, ALK amplification, ALK mutation and overexpression	inhibitor
Basal cell carcinoma	SMO	SMO	SMO	6608	LY2940680	LY2940680	49848070	N/A	NCT01226485	Detailed Description: Participants may include those who have previously received treatment with another hedgehog smoothened (Hh/Smo) inhibitor	inhibitor
Basal cell carcinoma	SMO	SMO	SMO	6608	LDE225	LDE225	24775005	N/A	NCT01529450	Purpose: To explore the effects of oral LDE225 on the Progression Free Survival (PFS) of individuals with locally advanced or metastatic BCC who have been previously treated with a non-LDE225 Smo inhibitor.	inhibitor
Bladder cancer	TSC1	P53	TP53	7157	SGT-53	N/A	N/A	N/A	NCT00470613	Detailed description: SGT-53 is a complex composed of a wild type p53 gene	Activator
Bladder cancer	TSC1	RB94	Rb1	5925	SGT-94	N/A	N/A	N/A	NCT01517464	Detailed description: SGT-94,the agent being tested, is a systemically administered complex composed of the RB94 gene	Activator
Bladder cancer	TSC1	P53	TP53	7157	Kevetrin	N/A	N/A	Thioureidobutyronitrile	NCT01664000	Purpose: Kevetrin activates p53	Activator
