Gene	Category
ADCK1	Kinase
ADCK2	Kinase
ADCK5	Kinase
ALPK2	Kinase
ALPK3	Kinase
BCKDK	Kinase
BRSK1	Kinase
CAMK1D	Kinase
CAMK1G	Kinase
CAMKK1	Kinase
CAMKV	Kinase
CDC42BPA	Kinase
CDC42BPB	Kinase
CDC42BPG	Kinase
CDK10	Kinase
CDK11A	Kinase
CDK11B	Kinase
CDK12	Kinase
CDK13	Kinase
CDK14	Kinase
CDK15	Kinase
CDK16	Kinase
CDK17	Kinase
CDK18	Kinase
CDK19	Kinase
CDK20	Kinase
CDKL1	Kinase
CDKL2	Kinase
CDKL3	Kinase
CDKL4	Kinase
CLK3	Kinase
CLK4	Kinase
COQ8A	Kinase
COQ8B	Kinase
CSNK1A1L	Kinase
CSNK1G1	Kinase
CSNK1G2	Kinase
CSNK1G3	Kinase
CSNK2A3	Kinase
DCLK3	Kinase
DSTYK	Kinase
DYRK1B	Kinase
DYRK2	Kinase
DYRK3	Kinase
DYRK4	Kinase
EEF2K	Kinase
ERN2	Kinase
HIPK1	Kinase
HIPK3	Kinase
HIPK4	Kinase
ICK	Kinase
LMTK2	Kinase
LMTK3	Kinase
LRRK1	Kinase
LTK	Kinase
MAP3K10	Kinase
MAP3K14	Kinase
MAP3K15	Kinase
MAP3K21	Kinase
MAPK15	Kinase
MAPK4	Kinase
MARK1	Kinase
MARK3	Kinase
MARK4	Kinase
MAST2	Kinase
MAST3	Kinase
MAST4	Kinase
MKNK2	Kinase
NEK1	Kinase
NEK10	Kinase
NEK11	Kinase
NEK3	Kinase
NEK4	Kinase
NEK5	Kinase
NEK6	Kinase
NEK7	Kinase
NEK9	Kinase
NIM1K	Kinase
NRBP2	Kinase
NRK	Kinase
NUAK2	Kinase
PAK3	Kinase
PAK5	Kinase
PAK6	Kinase
PAN3	Kinase
PDIK1L	Kinase
PHKG1	Kinase
PHKG2	Kinase
PI4KA	Kinase
PIK3C2B	Kinase
PIK3C2G	Kinase
PIP4K2C	Kinase
PIP5K1A	Kinase
PIP5K1B	Kinase
PIP5K1C	Kinase
PKMYT1	Kinase
PKN3	Kinase
PNCK	Kinase
POMK	Kinase
PRKACB	Kinase
PRKACG	Kinase
PRPF4B	Kinase
PSKH1	Kinase
PSKH2	Kinase
PXK	Kinase
RIOK1	Kinase
RIOK2	Kinase
RIOK3	Kinase
RPS6KC1	Kinase
RPS6KL1	Kinase
SBK2	Kinase
SBK3	Kinase
SCYL2	Kinase
SCYL3	Kinase
SGK494	Kinase
SRPK3	Kinase
STK17A	Kinase
STK17B	Kinase
STK19	Kinase
STK3	Kinase
STK31	Kinase
STK32A	Kinase
STK32B	Kinase
STK32C	Kinase
STK33	Kinase
STK36	Kinase
STK38L	Kinase
STK40	Kinase
STKLD1	Kinase
TAOK1	Kinase
TAOK2	Kinase
TBCK	Kinase
TESK1	Kinase
TESK2	Kinase
TLK1	Kinase
TLK2	Kinase
TP53RK	Kinase
TSSK1B	Kinase
TSSK2	Kinase
TSSK3	Kinase
TSSK4	Kinase
TSSK6	Kinase
TTBK1	Kinase
TTBK2	Kinase
ULK4	Kinase
VRK2	Kinase
VRK3	Kinase
WEE2	Kinase
WNK2	Kinase
WNK3	Kinase
ADGRA1	GPCR
ADGRA3	GPCR
ADGRB2	GPCR
ADGRB3	GPCR
ADGRD1	GPCR
ADGRD2	GPCR
ADGRE1	GPCR
ADGRE3	GPCR
ADGRF1	GPCR
ADGRF2	GPCR
ADGRF3	GPCR
ADGRF4	GPCR
ADGRF5	GPCR
ADGRG2	GPCR
ADGRG3	GPCR
ADGRG4	GPCR
ADGRG5	GPCR
ADGRG7	GPCR
FZD10	GPCR
GNRHR2	GPCR
GPR101	GPCR
GPR12	GPCR
GPR135	GPCR
GPR137	GPCR
GPR139	GPCR
GPR141	GPCR
GPR142	GPCR
GPR146	GPCR
GPR149	GPCR
GPR150	GPCR
GPR151	GPCR
GPR152	GPCR
GPR153	GPCR
GPR156	GPCR
GPR157	GPCR
GPR160	GPCR
GPR162	GPCR
GPR171	GPCR
GPR173	GPCR
GPR174	GPCR
GPR18	GPCR
GPR19	GPCR
GPR20	GPCR
GPR21	GPCR
GPR22	GPCR
GPR25	GPCR
GPR26	GPCR
GPR27	GPCR
GPR3	GPCR
GPR31	GPCR
GPR32	GPCR
GPR34	GPCR
GPR37L1	GPCR
GPR4	GPCR
GPR45	GPCR
GPR52	GPCR
GPR6	GPCR
GPR61	GPCR
GPR62	GPCR
GPR63	GPCR
GPR65	GPCR
GPR68	GPCR
GPR75	GPCR
GPR78	GPCR
GPR82	GPCR
GPR85	GPCR
GPR87	GPCR
GPR88	GPCR
GPRC5A	GPCR
GPRC5B	GPCR
