relationship_id	Interpro_Acc	Interpro_Name	Interpro_Short_Name	Interpro_Type	DGIDB_Human_Readable	Uniprot_Acc	Uniprot_Id	Uniprot_Protein_Name	Uniprot_Gene_Name	Uniprot_Evidence	Uniprot_Status	Entrez_Id	Ensembl_Id
P42680_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P42680	TEC_HUMAN	Tyrosine-protein kinase Tec	TEC	1: Evidence at protein level	Swiss-Prot	7006	ENSG00000135605
Q15391_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q15391	P2Y14_HUMAN	P2Y purinoceptor 14	P2RY14	1: Evidence at protein level	Swiss-Prot	9934	ENSG00000174944
Q9BXA6_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q9BXA6	TSSK6_HUMAN	Testis-specific serine/threonine-protein kinase 6	TSSK6	1: Evidence at protein level	Swiss-Prot	83983	ENSG00000178093
Q99619_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q99619	SPSB2_HUMAN	SPRY domain-containing SOCS box protein 2	SPSB2	1: Evidence at protein level	Swiss-Prot	84727	ENSG00000111671
Q9NZK5_IPR001365	IPR001365	Adenosine/AMP deaminase domain	A/AMP_deaminase_dom	Domain	N/A	Q9NZK5	CECR1_HUMAN	Adenosine deaminase CECR1	CECR1	1: Evidence at protein level	Swiss-Prot	51816	ENSG00000093072
P32241_IPR000832	IPR000832	GPCR, family 2, secretin-like	GPCR_2_secretin-like	Family	G Protein Coupled Receptor	P32241	VIPR1_HUMAN	Vasoactive intestinal polypeptide receptor 1	VIPR1	1: Evidence at protein level	Swiss-Prot	7433	ENSG00000114812
Q8NGX0_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGX0	O11L1_HUMAN	Olfactory receptor 11L1	OR11L1	2: Evidence at transcript level	Swiss-Prot	391189	ENSG00000197591
P51878_IPR002398	IPR002398	Peptidase C14, caspase precursor p45	Pept_C14_p45	Family	Protease	P51878	CASP5_HUMAN	Caspase-5 subunit p20	CASP5	2: Evidence at transcript level	Swiss-Prot	838	ENSG00000137757
P29597_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	P29597	TYK2_HUMAN	Non-receptor tyrosine-protein kinase TYK2	TYK2	1: Evidence at protein level	Swiss-Prot	7297	ENSG00000105397
O00155_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	O00155	GPR25_HUMAN	Probable G-protein coupled receptor 25	GPR25	2: Evidence at transcript level	Swiss-Prot	2848	ENSG00000170128
Q92953_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	Q92953	KCNB2_HUMAN	Potassium voltage-gated channel subfamily B member 2	KCNB2	2: Evidence at transcript level	Swiss-Prot	9312	ENSG00000182674
P08697_IPR000215	IPR000215	Serpin family	Serpin_fam	Family	Protease Inhibitor	P08697	A2AP_HUMAN	Alpha-2-antiplasmin	SERPINF2	1: Evidence at protein level	Swiss-Prot	5345	ENSG00000167711
P51843_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	P51843	NR0B1_HUMAN	Nuclear receptor subfamily 0 group B member 1	NR0B1	1: Evidence at protein level	Swiss-Prot	190	ENSG00000169297
Q8NH79_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NH79	OR6X1_HUMAN	Olfactory receptor 6X1	OR6X1	2: Evidence at transcript level	Swiss-Prot	390260	ENSG00000221931
O75636_IPR002181	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular	Fibrinogen_a/b/g_C	Domain	Fibrinogen	O75636	FCN3_HUMAN	Ficolin-3	FCN3	1: Evidence at protein level	Swiss-Prot	8547	ENSG00000142748
O14842_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	O14842	FFAR1_HUMAN	Free fatty acid receptor 1	FFAR1	2: Evidence at transcript level	Swiss-Prot	2864	ENSG00000126266
Q9UGI0_IPR001876	IPR001876	Zinc finger, RanBP2-type	Znf_RanBP2	Domain	N/A	Q9UGI0	ZRAN1_HUMAN	Ubiquitin thioesterase ZRANB1	ZRANB1	1: Evidence at protein level	Swiss-Prot	54764	ENSG00000019995
Q8IZF6_IPR000832	IPR000832	GPCR, family 2, secretin-like	GPCR_2_secretin-like	Family	G Protein Coupled Receptor	Q8IZF6	GP112_HUMAN	Probable G-protein coupled receptor 112	GPR112	2: Evidence at transcript level	Swiss-Prot	139378	ENSG00000156920
Q6BCY4_IPR001433	IPR001433	Oxidoreductase FAD/NAD(P)-binding	OxRdtase_FAD/NAD-bd	Domain	N/A	Q6BCY4	NB5R2_HUMAN	NADH-cytochrome b5 reductase 2	CYB5R2	1: Evidence at protein level	Swiss-Prot	51700	ENSG00000166394
P27361_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	P27361	MK03_HUMAN	Mitogen-activated protein kinase 3	MAPK3	1: Evidence at protein level	Swiss-Prot	5595	ENSG00000102882
Q8NFQ6_IPR001124	IPR001124	Lipid-binding serum glycoprotein, C-terminal	Lipid-bd_serum_glycop_C	Domain	N/A	Q8NFQ6	BPIFC_HUMAN	BPI fold-containing family C protein	BPIFC	1: Evidence at protein level	Swiss-Prot	254240	ENSG00000184459
Q92843_IPR000712	IPR000712	Apoptosis regulator, Bcl-2, BH	Bcl2_BH	Domain	N/A	Q92843	B2CL2_HUMAN	Bcl-2-like protein 2	BCL2L2	1: Evidence at protein level	Swiss-Prot	599	ENSG00000129473; ENSG00000258643
P80365_IPR002198	IPR002198	Short-chain dehydrogenase/reductase SDR	DH_sc/Rdtase_SDR	Family	Short Chain Dehydrogenase/Reductase	P80365	DHI2_HUMAN	Corticosteroid 11-beta-dehydrogenase isozyme 2	HSD11B2	1: Evidence at protein level	Swiss-Prot	3291	ENSG00000176387
Q5T2L2_IPR001395	IPR001395	Aldo/keto reductase	Aldo/ket_red	Family	N/A	Q5T2L2	AKCL1_HUMAN	Aldo-keto reductase family 1 member C-like protein 1	AKR1CL1	2: Evidence at transcript level	Swiss-Prot	N/A	ENSG00000196326
Q5W0U4_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q5W0U4	BSPRY_HUMAN	B box and SPRY domain-containing protein	BSPRY	2: Evidence at transcript level	Swiss-Prot	54836	ENSG00000119411
P30518_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P30518	V2R_HUMAN	Vasopressin V2 receptor	AVPR2	1: Evidence at protein level	Swiss-Prot	554	ENSG00000126895
Q9BZ76_IPR002181	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular	Fibrinogen_a/b/g_C	Domain	Fibrinogen	Q9BZ76	CNTP3_HUMAN	Contactin-associated protein-like 3	CNTNAP3	2: Evidence at transcript level	Swiss-Prot	79937	ENSG00000106714
O15146_IPR001245	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain	Ser-Thr/Tyr_kinase_cat_dom	Domain	Kinase	O15146	MUSK_HUMAN	Muscle, skeletal receptor tyrosine-protein kinase	MUSK	1: Evidence at protein level	Swiss-Prot	4593	ENSG00000030304
Q8N5I4_IPR002198	IPR002198	Short-chain dehydrogenase/reductase SDR	DH_sc/Rdtase_SDR	Family	Short Chain Dehydrogenase/Reductase	Q8N5I4	DHRSX_HUMAN	Dehydrogenase/reductase SDR family member on chromosome X	DHRSX	2: Evidence at transcript level	Swiss-Prot	207063	ENSG00000169084
P36969_IPR000889	IPR000889	Glutathione peroxidase	Glutathione_peroxidase	Family	N/A	P36969	GPX4_HUMAN	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	GPX4	1: Evidence at protein level	Swiss-Prot	2879	ENSG00000167468
O75319_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	O75319	DUS11_HUMAN	RNA/RNP complex-1-interacting phosphatase	DUSP11	1: Evidence at protein level	Swiss-Prot	8446	ENSG00000144048
Q9H3S3_IPR001190	IPR001190	Speract/scavenger receptor	Srcr_rcpt	Domain	N/A	Q9H3S3	TMPS5_HUMAN	Transmembrane protease serine 5	TMPRSS5	1: Evidence at protein level	Swiss-Prot	80975	ENSG00000166682
Q00839_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U	HNRNPU	1: Evidence at protein level	Swiss-Prot	3192	ENSG00000153187
Q6P5Z2_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q6P5Z2	PKN3_HUMAN	Serine/threonine-protein kinase N3	PKN3	1: Evidence at protein level	Swiss-Prot	29941	ENSG00000160447
P07451_IPR001148	IPR001148	Alpha carbonic anhydrase	Carbonic_anhydrase_a	Domain	N/A	P07451	CAH3_HUMAN	Carbonic anhydrase 3	CA3	1: Evidence at protein level	Swiss-Prot	761	ENSG00000164879
A6NH00_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	A6NH00	OR2T8_HUMAN	Olfactory receptor 2T8	OR2T8	2: Evidence at transcript level	Swiss-Prot	343172	ENSG00000177462
P46089_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P46089	GPR3_HUMAN	G-protein coupled receptor 3	GPR3	1: Evidence at protein level	Swiss-Prot	2827	ENSG00000181773
P17787_IPR006201	IPR006201	Neurotransmitter-gated ion-channel	Neur_channel	Family	Ion Channel	P17787	ACHB2_HUMAN	Neuronal acetylcholine receptor subunit beta-2	CHRNB2	1: Evidence at protein level	Swiss-Prot	1141	ENSG00000160716
Q6UWB4_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	Q6UWB4	PRS55_HUMAN	Serine protease 55	PRSS55	2: Evidence at transcript level	Swiss-Prot	203074	ENSG00000184647
P42262_IPR001320	IPR001320	Ionotropic glutamate receptor	Iontro_glu_rcpt	Domain	N/A	P42262	GRIA2_HUMAN	Glutamate receptor 2	GRIA2	1: Evidence at protein level	Swiss-Prot	2891	ENSG00000120251
Q8NH73_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NH73	OR4S2_HUMAN	Olfactory receptor 4S2	OR4S2	1: Evidence at protein level	Swiss-Prot	219431	ENSG00000174982
Q9Y6M0_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	Q9Y6M0	TEST_HUMAN	Testisin	PRSS21	2: Evidence at transcript level	Swiss-Prot	10942	ENSG00000007038
O95490_IPR000832	IPR000832	GPCR, family 2, secretin-like	GPCR_2_secretin-like	Family	G Protein Coupled Receptor	O95490	LPHN2_HUMAN	Latrophilin-2	LPHN2	1: Evidence at protein level	Swiss-Prot	23266	ENSG00000117114
Q8NHC4_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NHC4	O10J5_HUMAN	Olfactory receptor 10J5	OR10J5	2: Evidence at transcript level	Swiss-Prot	127385	ENSG00000184155
P14210_IPR001254	IPR001254	Peptidase S1/S6, chymotrypsin/Hap	Peptidase_S1_S6	Domain	Protease	P14210	HGF_HUMAN	Hepatocyte growth factor alpha chain	HGF	1: Evidence at protein level	Swiss-Prot	3082	ENSG00000019991
Q8NGK1_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGK1	O51G1_HUMAN	Olfactory receptor 51G1	OR51G1	2: Evidence at transcript level	Swiss-Prot	79324	ENSG00000176879
Q9H1D0_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	Q9H1D0	TRPV6_HUMAN	Transient receptor potential cation channel subfamily V member 6	TRPV6	1: Evidence at protein level	Swiss-Prot	55503	ENSG00000165125
Q7Z4W1_IPR002198	IPR002198	Short-chain dehydrogenase/reductase SDR	DH_sc/Rdtase_SDR	Family	Short Chain Dehydrogenase/Reductase	Q7Z4W1	DCXR_HUMAN	L-xylulose reductase	DCXR	1: Evidence at protein level	Swiss-Prot	51181	ENSG00000169738
P34972_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	P34972	CNR2_HUMAN	Cannabinoid receptor 2	CNR2	1: Evidence at protein level	Swiss-Prot	1269	ENSG00000188822
Q96BR1_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q96BR1	SGK3_HUMAN	Serine/threonine-protein kinase Sgk3	SGK3	1: Evidence at protein level	Swiss-Prot	100533105; 23678	ENSG00000104205
Q8NHB8_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NHB8	OR5K2_HUMAN	Olfactory receptor 5K2	OR5K2	2: Evidence at transcript level	Swiss-Prot	402135	ENSG00000231861
Q14680_IPR002290	IPR002290	Serine/threonine- / dual-specificity protein kinase, catalytic  domain	Ser/Thr_dual-sp_kinase_dom	Domain	Kinase	Q14680	MELK_HUMAN	Maternal embryonic leucine zipper kinase	MELK	1: Evidence at protein level	Swiss-Prot	9833	ENSG00000165304
Q8NGJ8_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGJ8	O51S1_HUMAN	Olfactory receptor 51S1	OR51S1	2: Evidence at transcript level	Swiss-Prot	119692	ENSG00000176922
Q6NSJ0_IPR000322	IPR000322	Glycoside hydrolase, family 31	Glyco_hydro_31	Family	N/A	Q6NSJ0	K1161_HUMAN	Uncharacterized family 31 glucosidase KIAA1161	KIAA1161	1: Evidence at protein level	Swiss-Prot	57462	ENSG00000164976
Q13451_IPR001179	IPR001179	Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain	PPIase_FKBP_dom	Domain	N/A	Q13451	FKBP5_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP5	FKBP5	1: Evidence at protein level	Swiss-Prot	2289	ENSG00000096060
Q12884_IPR001375	IPR001375	Peptidase S9, prolyl oligopeptidase, catalytic domain	Peptidase_S9	Domain	Protease	Q12884	SEPR_HUMAN	Seprase	FAP	1: Evidence at protein level	Swiss-Prot	2191	ENSG00000078098
O95259_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	O95259	KCNH1_HUMAN	Potassium voltage-gated channel subfamily H member 1	KCNH1	1: Evidence at protein level	Swiss-Prot	3756	ENSG00000143473
Q9UGM3_IPR001190	IPR001190	Speract/scavenger receptor	Srcr_rcpt	Domain	N/A	Q9UGM3	DMBT1_HUMAN	Deleted in malignant brain tumors 1 protein	DMBT1	1: Evidence at protein level	Swiss-Prot	1755	ENSG00000187908
O75891_IPR015590	IPR015590	Aldehyde dehydrogenase domain	Aldehyde_DH_dom	Domain	N/A	O75891	AL1L1_HUMAN	Cytosolic 10-formyltetrahydrofolate dehydrogenase	ALDH1L1	1: Evidence at protein level	Swiss-Prot	10840	ENSG00000144908
Q9UNI6_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	Q9UNI6	DUS12_HUMAN	Dual specificity protein phosphatase 12	DUSP12	1: Evidence at protein level	Swiss-Prot	11266	ENSG00000081721
O94759_IPR005821	IPR005821	Ion transport domain	Ion_trans_dom	Domain	Ion Channel	O94759	TRPM2_HUMAN	Transient receptor potential cation channel subfamily M member 2	TRPM2	1: Evidence at protein level	Swiss-Prot	7226	ENSG00000142185
Q9BUJ2_IPR001870	IPR001870	B30.2/SPRY domain	B30.2/SPRY	Domain	B30.2/SPRY domain	Q9BUJ2	HNRL1_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 1	HNRNPUL1	1: Evidence at protein level	Swiss-Prot	11100	ENSG00000105323
Q8NGC3_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q8NGC3	O10G2_HUMAN	Olfactory receptor 10G2	OR10G2	2: Evidence at transcript level	Swiss-Prot	26534	ENSG00000255582
P23471_IPR000387	IPR000387	Protein-tyrosine/Dual-specificity phosphatase	Tyr/Dual-specificity_Pase	Domain	Protein Phosphatase	P23471	PTPRZ_HUMAN	Receptor-type tyrosine-protein phosphatase zeta	PTPRZ1	1: Evidence at protein level	Swiss-Prot	5803	ENSG00000106278
Q9GZQ6_IPR000276	IPR000276	GPCR, rhodopsin-like, 7TM	7TM_GPCR_Rhodpsn	Family	G Protein Coupled Receptor	Q9GZQ6	NPFF1_HUMAN	Neuropeptide FF receptor 1	NPFFR1	1: Evidence at protein level	Swiss-Prot	64106	ENSG00000148734
P10828_IPR000536	IPR000536	Nuclear hormone receptor, ligand-binding, core	Nucl_hrmn_rcpt_lig-bd_core	Domain	Nuclear Hormone Receptor	P10828	THB_HUMAN	Thyroid hormone receptor beta	THRB	1: Evidence at protein level	Swiss-Prot	7068	ENSG00000151090
