gene_stable_id	display_id	description	HumanReadableName
ENSG00000168522	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase alpha subunit) (Ras proteins prenyltransferase alpha) (FTase-alpha) (Type I protein geranyl-geranyltransferase alpha subunit) 	RussLampel
ENSG00000196354	Q9NRZ3_HUMAN	Protease (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9NRZ3]	RussLampel
ENSG00000087245	MMP2	72 kDa type IV collagenase precursor (EC 3.4.24.24) (72 kDa gelatinase) (Matrix metalloproteinase-2) (MMP-2) (Gelatinase A) (TBE- 1). [Source:Uniprot/SWISSPROT;Acc:P08253]	RussLampel
ENSG00000178226	POLS2_HUMAN	Polyserase-2 precursor (EC 3.4.21.-) (Polyserine protease-2). [Source:Uniprot/SWISSPROT;Acc:Q5K4E3]	RussLampel
ENSG00000197119	SLC25A29	Mitchondrial carnitine/acylcarnitine carrier protein CACL (CACT-like). [Source:Uniprot/SWISSPROT;Acc:Q8N8R3]	RussLampel
ENSG00000174944	P2RY14	P2Y purinoceptor 14 (P2Y14) (UDP-glucose receptor) (G-protein coupled receptor 105). [Source:Uniprot/SWISSPROT;Acc:Q15391]	RussLampel
ENSG00000160013	PTGIR	Prostacyclin receptor (Prostanoid IP receptor) (PGI receptor) (Prostaglandin I2 receptor). [Source:Uniprot/SWISSPROT;Acc:P43119]	RussLampel
ENSG00000012504	NR1H4	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14). [Source:Uniprot/SWISSPROT;Acc:Q96RI1]	RussLampel
ENSG00000188906	LRRK2	N/A	RussLampel
ENSG00000127329	PTPRB	Receptor-type tyrosine-protein phosphatase beta precursor (EC 3.1.3.48) (Protein-tyrosine phosphatase beta) (R-PTP-beta). [Source:Uniprot/SWISSPROT;Acc:P23467]	RussLampel
ENSG00000175393	OR10A6	Olfactory receptor 10A6. [Source:Uniprot/SWISSPROT;Acc:Q8NH74]	RussLampel
ENSG00000114857	NKTR	NK-tumor recognition protein (Natural-killer cells cyclophilin-related protein) (NK-TR protein). [Source:Uniprot/SWISSPROT;Acc:P30414]	RussLampel
ENSG00000182511	FES	Proto-oncogene tyrosine-protein kinase Fes/Fps (EC 2.7.1.112) (C-Fes). [Source:Uniprot/SWISSPROT;Acc:P07332]	RussLampel
ENSG00000197673	N/A	N/A	RussLampel
ENSG00000136925	NP_640339.3	N/A	RussLampel
ENSG00000135919	SERPINE2	Glia derived nexin precursor (GDN) (Protease nexin I) (PN-1) (Protease inhibitor 7). [Source:Uniprot/SWISSPROT;Acc:P07093]	RussLampel
ENSG00000006283	CACNA1G	Voltage-dependent T-type calcium channel alpha-1G subunit (Voltage- gated calcium channel alpha subunit Cav3.1) (Cav3.1c) (NBR13). [Source:Uniprot/SWISSPROT;Acc:O43497]	RussLampel
ENSG00000100450	GZMH	Granzyme H precursor (EC 3.4.21.-) (Cytotoxic T-lymphocyte proteinase) (Cathepsin G-like 2) (CTSGL2) (CCP-X) (Cytotoxic serine protease-C) (CSP-C). [Source:Uniprot/SWISSPROT;Acc:P20718]	RussLampel
ENSG00000105701	FKBP8	38 kDa FK-506 binding protein homolog (FKBPR38) (FK506-binding protein 8). [Source:Uniprot/SWISSPROT;Acc:Q14318]	RussLampel
ENSG00000182157	N/A	N/A	RussLampel
ENSG00000163602	RYBP	RING1 and YY1 binding protein (Death effector domain-associated factor) (DED-associated factor) (YY1 and E4TF1 associated factor 1) (Apoptin-associating protein 1) (APAP-1). [Source:Uniprot/SWISSPROT;Acc:Q8N488]	RussLampel
ENSG00000152684	PELO	Pelota homolog. [Source:Uniprot/SWISSPROT;Acc:Q9BRX2]	RussLampel
ENSG00000198175	N/A	N/A	RussLampel
ENSG00000167755	KLK6	Kallikrein 6 precursor (EC 3.4.21.-) (Protease M) (Neurosin) (Zyme) (SP59). [Source:Uniprot/SWISSPROT;Acc:Q92876]	RussLampel
ENSG00000159403	N/A	N/A	RussLampel
ENSG00000186344	N/A	N/A	RussLampel
ENSG00000175511	HSD3B1	3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I (3Beta-HSD I) (Trophoblast antigen FDO161G) [Includes: 3-beta-hydroxy- delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); St	RussLampel
ENSG00000054277	OPN3	Opsin-3 (Encephalopsin) (Panopsin). [Source:Uniprot/SWISSPROT;Acc:Q9H1Y3]	RussLampel
ENSG00000186684	NP_001001665.1	N/A	RussLampel
ENSG00000185988	N/A	N/A	RussLampel
ENSG00000171657	GPR82	Probable G-protein coupled receptor 82. [Source:Uniprot/SWISSPROT;Acc:Q96P67]	RussLampel
ENSG00000147485	NP_653252.2	N/A	RussLampel
ENSG00000102174	PHEX	Phosphate regulating neutral endopeptidase (EC 3.4.24.-) (Metalloendopeptidase homolog PEX) (X-linked hypophosphatemia protein) (HYP) (Vitamin D-resistant hypophosphatemic rickets protein). [Source:Uniprot/SWISSPROT;Acc:P78562]	RussLampel
ENSG00000184545	DUSP8	Dual specificity protein phosphatase 8 (EC 3.1.3.48) (EC 3.1.3.16) (Dual specificity protein phosphatase hVH-5). [Source:Uniprot/SWISSPROT;Acc:Q13202]	RussLampel
ENSG00000134007	ADAM20	ADAM 20 precursor (EC 3.4.24.-) (A disintegrin and metalloproteinase domain 20). [Source:Uniprot/SWISSPROT;Acc:O43506]	RussLampel
ENSG00000100968	NFATC4	Nuclear factor of activated T-cells, cytoplasmic 4 (NF-ATc4) (NFATc4) (T cell transcription factor NFAT3) (NF-AT3). [Source:Uniprot/SWISSPROT;Acc:Q14934]	RussLampel
ENSG00000180739	EDG8	Sphingosine 1-phosphate receptor Edg-8 (Endothelial differentiation sphingolipid G-protein-coupled receptor 8) (Sphingosine 1-phosphate receptor 5) (S1P5). [Source:Uniprot/SWISSPROT;Acc:Q9H228]	RussLampel
ENSG00000115486	GGCX	Vitamin K-dependent gamma-carboxylase (EC 6.4.-.-) (Gamma-glutamyl carboxylase). [Source:Uniprot/SWISSPROT;Acc:P38435]	RussLampel
ENSG00000178418	N/A	N/A	RussLampel
ENSG00000143507	DUSP10	Dual specificity protein phosphatase 10 (EC 3.1.3.48) (EC 3.1.3.16) (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5). [Source:Uniprot/SWISSPROT;Acc:Q9Y6W6]	RussLampel
ENSG00000180099	Q8NHA7_HUMAN	Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NHA7]	RussLampel
ENSG00000102195	GPR50	Melatonin-related receptor (H9). [Source:Uniprot/SWISSPROT;Acc:Q13585]	RussLampel
ENSG00000171496	OR1L8	Olfactory receptor 1L8. [Source:Uniprot/SWISSPROT;Acc:Q8NGR8]	RussLampel
ENSG00000166947	EPB42	Erythrocyte membrane protein band 4.2 (Erythrocyte protein 4.2) (P4.2). [Source:Uniprot/SWISSPROT;Acc:P16452]	RussLampel
ENSG00000142185	TRPM2	Transient receptor potential cation channel subfamily M member 2 (EC 3.6.1.13) (Long transient receptor potential channel 2) (LTrpC2) (LTrpC-2) (Transient receptor potential channel 7) (TrpC7) (Estrogen responsive element associated gene protein 1). [Sour	RussLampel
ENSG00000165076	NP_001008271.1	N/A	RussLampel
ENSG00000163810	TGM4	Protein-glutamine glutamyltransferase 4 (EC 2.3.2.13) (Transglutaminase-4) (TGase 4) (Prostate transglutaminase) (TGP) (TG(P)) (Prostate-specific transglutaminase) (Fibrinoligase). [Source:Uniprot/SWISSPROT;Acc:P49221]	RussLampel
ENSG00000164794	KCNV1	potassium channel, subfamily V, member 1 [Source:RefSeq_peptide;Acc:NP_055194]	RussLampel
ENSG00000184408	KCND2	Potassium voltage-gated channel subfamily D member 2 (Voltage-gated potassium channel subunit Kv4.2). [Source:Uniprot/SWISSPROT;Acc:Q9NZV8]	RussLampel
ENSG00000101194	CT059_HUMAN	Putative transporter C20orf59. [Source:Uniprot/SWISSPROT;Acc:Q9BYT1]	RussLampel
ENSG00000196305	IARS	Isoleucyl-tRNA synthetase, cytoplasmic (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS) (IRS). [Source:Uniprot/SWISSPROT;Acc:P41252]	RussLampel
ENSG00000005884	ITGA3	Integrin alpha-3 precursor (Galactoprotein B3) (GAPB3) (VLA-3 alpha chain) (CD49c) (FRP-2). [Source:Uniprot/SWISSPROT;Acc:P26006]	RussLampel
ENSG00000127529	OR7C2	Olfactory receptor 7C2 (Olfactory receptor 19-18) (OR19-18). [Source:Uniprot/SWISSPROT;Acc:O60412]	RussLampel
ENSG00000136531	SCN2A2	Sodium channel protein type II alpha subunit (Voltage-gated sodium channel alpha subunit Nav1.2) (Sodium channel protein, brain II alpha subunit) (HBSC II). [Source:Uniprot/SWISSPROT;Acc:Q99250]	RussLampel
ENSG00000131196	NFATC1	Nuclear factor of activated T-cells, cytoplasmic 1 (NFAT transcription complex cytosolic component) (NF-ATc1) (NF-ATc). [Source:Uniprot/SWISSPROT;Acc:O95644]	RussLampel
ENSG00000096384	HSPCB	Heat shock protein HSP 90-beta (HSP 84) (HSP 90). [Source:Uniprot/SWISSPROT;Acc:P08238]	RussLampel
ENSG00000092009	CMA1	Chymase precursor (EC 3.4.21.39) (Mast cell protease I). [Source:Uniprot/SWISSPROT;Acc:P23946]	RussLampel
ENSG00000160145	DUET_HUMAN	Serine/threonine-protein kinase Duet (EC 2.7.1.37) (Serine/threonine kinase with Dbl- and pleckstrin homology domain). [Source:Uniprot/SWISSPROT;Acc:Q9Y2A5]	RussLampel
ENSG00000117394	SLC2A1	Solute carrier family 2, facilitated glucose transporter, member 1 (Glucose transporter type 1, erythrocyte/brain) (HepG2 glucose transporter). [Source:Uniprot/SWISSPROT;Acc:P11166]	RussLampel
ENSG00000172519	OR10H5	Olfactory receptor 10H5. [Source:Uniprot/SWISSPROT;Acc:Q8NGA6]	RussLampel
