tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	gene_type	symbol_from_authority	full_name	nomenclature_status	other_designations	modification_date	class
9606	117	ADCYAP1R1	-	PAC1|PAC1R|PACAPR|PACAPRI	HGNC:242|MIM:102981|Ensembl:ENSG00000078549|HPRD:00045|Vega:OTTHUMG00000023884	7	7p14	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	protein-coding	ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I	O	PACAP receptor 1|PACAP type I receptor|PACAP-R1|pituitary adenylate cyclase activating polypeptide 1 receptor type I Hiphop|pituitary adenylate cyclase-activating polypeptide type I receptor	20120610	GPCR
9606	134	ADORA1	-	RDC7	HGNC:262|MIM:102775|Ensembl:ENSG00000163485|HPRD:00042|Vega:OTTHUMG00000042125	1	1q32.1	adenosine A1 receptor	protein-coding	ADORA1	adenosine A1 receptor	O	adenosine receptor A1	20120624	GPCR
9606	135	ADORA2A	-	ADORA2|RDC8|hA2aR	HGNC:263|MIM:102776|Ensembl:ENSG00000128271|HPRD:00043|Vega:OTTHUMG00000150761	22	22q11.23	adenosine A2a receptor	protein-coding	ADORA2A	adenosine A2a receptor	O	adenosine A2 receptor|adenosine receptor A2a|adenosine receptor subtype A2a	20120623	GPCR
9606	136	ADORA2B	-	ADORA2	HGNC:264|MIM:600446|Ensembl:ENSG00000170425|HPRD:15971|Vega:OTTHUMG00000059140	17	17p12	adenosine A2b receptor	protein-coding	ADORA2B	adenosine A2b receptor	O	adenosine receptor A2b	20120624	GPCR
9606	140	ADORA3	RP11-552M11.7	A3AR|AD026|bA552M11.5	HGNC:268|MIM:600445|Ensembl:ENSG00000121933|HPRD:08984|HPRD:12424|Vega:OTTHUMG00000011957	1	1p13.2	adenosine A3 receptor	protein-coding	ADORA3	adenosine A3 receptor	O	adenosine receptor A3	20120618	GPCR
9606	148	ADRA1A	-	ADRA1C|ADRA1L1|ALPHA1AAR	HGNC:277|MIM:104221|Ensembl:ENSG00000120907|HPRD:00081|Vega:OTTHUMG00000099459	8	8p21.2	adrenoceptor alpha 1A	protein-coding	ADRA1A	adrenoceptor alpha 1A	O	"G protein coupled receptor|adrenergic, alpha-1A-, receptor variant 1|adrenergic, alpha-1A-, receptor variant 3|adrenergic, alpha-1A-, receptor variant 5|adrenergic, alpha-1A-, receptor variant 8|alpha-1A adrenergic receptor|alpha-1A adrenoceptor|alpha-1A adrenoreceptor|alpha-1C adrenergic receptor"	20120623	GPCR
9606	147	ADRA1B	-	ADRA1|ALPHA1BAR	HGNC:278|MIM:104220|Ensembl:ENSG00000170214|HPRD:00080|Vega:OTTHUMG00000130327	5	5q33.3	adrenoceptor alpha 1B	protein-coding	ADRA1B	adrenoceptor alpha 1B	O	"adrenergic, alpha-1B-, receptor|alpha-1B adrenergic receptor|alpha-1B adrenoceptor|alpha-1B adrenoreceptor|alpha-1B-adrenergic receptor"	20120623	GPCR
9606	146	ADRA1D	-	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	HGNC:280|MIM:104219|Ensembl:ENSG00000171873|HPRD:00079|Vega:OTTHUMG00000031779	20	20p13	adrenoceptor alpha 1D	protein-coding	ADRA1D	adrenoceptor alpha 1D	O	"adrenergic, alpha -1D-, receptor|adrenergic, alpha-1A-, receptor|adrenergic, alpha-1D-, receptor|alpha-1A adrenergic receptor|alpha-1D adrenergic receptor|alpha-1D adrenoceptor|alpha-1D adrenoreceptor|alpha-1D-adrenergic receptor|alpha-adrenergic receptor 1a"	20120616	GPCR
9606	150	ADRA2A	-	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	HGNC:281|MIM:104210|Ensembl:ENSG00000150594|HPRD:00078|Vega:OTTHUMG00000019050	10	10q25.2	adrenoceptor alpha 2A	protein-coding	ADRA2A	adrenoceptor alpha 2A	O	"adrenergic, alpha-2A-, receptor|alpha-2 adrenergic receptor subtype C10|alpha-2-adrenergic receptor, platelet type|alpha-2A adrenergic receptor|alpha-2A adrenoceptor|alpha-2A adrenoreceptor|alpha-2AAR subtype C10"	20120623	GPCR
9606	151	ADRA2B	-	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|alpha-2BAR	HGNC:282|MIM:104260|Ensembl:ENSG00000222040|HPRD:00086|Vega:OTTHUMG00000154375	2	2q11.1	adrenoceptor alpha 2B	protein-coding	ADRA2B	adrenoceptor alpha 2B	O	"ADRA2B adrenergic, alpha-2B-, receptor|G-protein coupled receptor|adrenergic receptor alpha 2B|adrenergic, alpha-2B-, receptor|alpha-2 adrenergic receptor subtype C2|alpha-2-adrenergic receptor-like 1|alpha-2B adrenergic receptor|alpha-2B adrenoceptor|alpha-2B adrenoreceptor"	20120610	GPCR
9606	152	ADRA2C	-	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	HGNC:283|MIM:104250|Ensembl:ENSG00000184160|HPRD:00085|Vega:OTTHUMG00000159830	4	4p16	adrenoceptor alpha 2C	protein-coding	ADRA2C	adrenoceptor alpha 2C	O	"adrenergic, alpha-2C-, receptor|alpha-2 adrenergic receptor subtype C4|alpha-2C adrenergic receptor|alpha-2C adrenoceptor|alpha-2C adrenoreceptor|alpha-2C-adrenergic receptor|alpha-2CAR|alpha2-AR-C4"	20120622	GPCR
9606	153	ADRB1	-	ADRB1R|B1AR|BETA1AR|RHR	HGNC:285|MIM:109630|Ensembl:ENSG00000043591|HPRD:00181|Vega:OTTHUMG00000019079	10	10q25.3	adrenoceptor beta 1	protein-coding	ADRB1	adrenoceptor beta 1	O	"adrenergic, beta-1-, receptor|beta-1 adrenergic receptor|beta-1 adrenoceptor|beta-1 adrenoreceptor"	20120623	GPCR
9606	154	ADRB2	-	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	HGNC:286|MIM:109690|Ensembl:ENSG00000169252|HPRD:00187|Vega:OTTHUMG00000129933	5	5q31-q32	"adrenoceptor beta 2, surface"	protein-coding	ADRB2	"adrenoceptor beta 2, surface"	O	"adrenergic, beta-2-, receptor, surface|beta-2 adrenergic receptor|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor"	20120624	GPCR
9606	155	ADRB3	-	BETA3AR	HGNC:288|MIM:109691|Ensembl:ENSG00000188778|HPRD:00188|Vega:OTTHUMG00000164028	8	8p12	adrenoceptor beta 3	protein-coding	ADRB3	adrenoceptor beta 3	O	"adrenergic, beta-3-, receptor|beta-3 adrenergic receptor|beta-3 adrenoceptor|beta-3 adrenoreceptor"	20120623	GPCR
9606	185	AGTR1	-	AG2S|AGTR1A|AGTR1B|AT1|AT1B|AT1R|AT2R1|AT2R1A|AT2R1B|HAT1R	HGNC:336|MIM:106165|Ensembl:ENSG00000144891|HPRD:00107|Vega:OTTHUMG00000159503	3	3q24	"angiotensin II receptor, type 1"	protein-coding	AGTR1	"angiotensin II receptor, type 1"	O	AT1AR|AT1BR|angiotensin II type-1 receptor|angiotensin receptor 1|angiotensin receptor 1B|type-1 angiotensin II receptor|type-1B angiotensin II receptor	20120626	GPCR
9606	186	AGTR2	-	AT2|ATGR2|MRX88	HGNC:338|MIM:300034|Ensembl:ENSG00000180772|HPRD:02071|Vega:OTTHUMG00000022243	X	Xq22-q23	"angiotensin II receptor, type 2"	protein-coding	AGTR2	"angiotensin II receptor, type 2"	O	angiotensin II type-2 receptor|type-2 angiotensin II receptor	20120622	GPCR
9606	187	APLNR	-	AGTRL1|APJ|APJR|HG11	HGNC:339|MIM:600052|HPRD:02503	11	11q12	apelin receptor	protein-coding	APLNR	apelin receptor	O	APJ (apelin) receptor|APJ receptor|G-protein-coupled receptor APJ|G-protein-coupled receptor APJ|G-protein-coupled receptor HG11|HG11 orphan receptor|angiotensin II receptor-like 1|angiotensin receptor-like 1	20120622	GPCR
9606	552	AVPR1A	-	AVPR V1a|AVPR1|V1aR	HGNC:895|MIM:600821|Ensembl:ENSG00000166148|HPRD:02894|Vega:OTTHUMG00000169980	12	12q14-q15	arginine vasopressin receptor 1A	protein-coding	AVPR1A	arginine vasopressin receptor 1A	O	SCCL vasopressin subtype 1a receptor|V1-vascular vasopressin receptor AVPR1A|V1a vasopressin receptor|antidiuretic hormone receptor 1A|vascular/hepatic-type arginine vasopressin receptor|vasopressin V1a receptor	20120628	GPCR
9606	553	AVPR1B	-	AVPR3	HGNC:896|MIM:600264|Ensembl:ENSG00000198049|HPRD:02600|Vega:OTTHUMG00000036119	1	1q32	arginine vasopressin receptor 1B	protein-coding	AVPR1B	arginine vasopressin receptor 1B	O	AVPR V1b|AVPR V3|V1bR|antidiuretic hormone receptor 1B|arginine vasopressin receptor 3|pituitary vasopressin receptor 3|vasopressin V1b receptor|vasopressin V3 receptor	20120623	GPCR
9606	554	AVPR2	-	ADHR|DI1|DIR|DIR3|NDI|V2R	HGNC:897|MIM:300538|Ensembl:ENSG00000126895|HPRD:02368|Vega:OTTHUMG00000024227	X	Xq28	arginine vasopressin receptor 2	protein-coding	AVPR2	arginine vasopressin receptor 2	O	AVPR V2|antidiuretic hormone receptor|renal-type arginine vasopressin receptor|vasopressin V2 receptor	20120623	GPCR
9606	575	BAI1	-	GDAIF	HGNC:943|MIM:602682|Ensembl:ENSG00000181790|HPRD:04062|Vega:OTTHUMG00000164732	8	8q24.3	brain-specific angiogenesis inhibitor 1	protein-coding	BAI1	brain-specific angiogenesis inhibitor 1	O	-	20120622	GPCR
9606	576	BAI2	RP11-73M7.7	-	HGNC:944|MIM:602683|Ensembl:ENSG00000121753|HPRD:04063|Vega:OTTHUMG00000003885	1	1p35	brain-specific angiogenesis inhibitor 2	protein-coding	BAI2	brain-specific angiogenesis inhibitor 2	O	Brain-specific angiongenesis inhibitor-2	20120610	GPCR
9606	577	BAI3	-	-	HGNC:945|MIM:602684|Ensembl:ENSG00000135298|HPRD:04064|Vega:OTTHUMG00000014982	6	6q12	brain-specific angiogenesis inhibitor 3	protein-coding	BAI3	brain-specific angiogenesis inhibitor 3	O	dJ91B17.1 (brain-specific angiogenesis inhibitor 3)	20120622	GPCR
9606	623	BDKRB1	-	B1BKR|B1R|BKB1R|BKR1|BRADYB1	HGNC:1029|MIM:600337|Ensembl:ENSG00000100739|HPRD:02639|Vega:OTTHUMG00000171412	14	14q32.1-q32.2	bradykinin receptor B1	protein-coding	BDKRB1	bradykinin receptor B1	O	B1 bradykinin receptor|BK-1 receptor|bradykinin B1 receptor|bradykinin receptor 1	20120623	GPCR
